trade_idx,signal_date,expiry_date,type,gross_payoff,statutory_costs,reconstructed_net,discrepancy
0,2021-09-23,2021-09-30,BULL_CALL,-4292.5,53.68,-4346.18,0.0
1,2021-10-08,2021-10-14,BULL_CALL,9072.5,90.65,8981.85,0.0
2,2021-10-28,2021-11-03,BEAR_PUT,-3327.5,53.89,-3381.39,0.0
3,2021-11-12,2021-11-18,BULL_CALL,-3900.0,51.27,-3951.27,0.0
4,2021-11-18,2021-11-25,BEAR_PUT,5362.5,66.3,5296.2,0.0
5,2021-11-26,2021-12-02,BEAR_PUT,-3772.5,56.45,-3828.95,0.0
6,2021-12-06,2021-12-09,BEAR_PUT,-3080.0,52.28,-3132.28,0.0
7,2021-12-20,2021-12-23,BEAR_PUT,-2885.0,53.57,-2938.57,0.0
8,2021-12-31,2022-01-06,BULL_CALL,8445.0,86.37,8358.63,0.0
9,2022-01-10,2022-01-13,BULL_CALL,6737.5,70.39,6667.11,0.0
10,2022-01-17,2022-01-20,BULL_CALL,-3625.0,50.84,-3675.84,0.0
11,2022-01-21,2022-01-27,BEAR_PUT,9022.5,100.08,8922.42,0.0
12,2022-01-27,2022-02-03,BEAR_PUT,-4717.5,62.16,-4779.66,0.0
13,2022-02-14,2022-02-17,BEAR_PUT,-3717.5,57.07,-3774.57,0.0
14,2022-03-29,2022-03-31,BULL_CALL,137.5,56.12,81.38,0.0
15,2022-04-01,2022-04-07,BULL_CALL,-4537.5,52.97,-4590.47,0.0
16,2022-04-18,2022-04-21,BEAR_PUT,-2947.5,51.63,-2999.13,0.0
17,2022-04-25,2022-04-28,BEAR_PUT,-3557.5,53.64,-3611.14,0.0
18,2022-05-06,2022-05-12,BEAR_PUT,8702.5,115.21,8587.29,0.0
19,2022-05-27,2022-06-02,BULL_CALL,7120.0,74.72,7045.28,0.0
20,2022-06-10,2022-06-16,BEAR_PUT,8770.0,142.63,8627.37,0.0
21,2022-06-27,2022-06-30,BULL_CALL,-3550.0,51.55,-3601.55,0.0
22,2022-07-18,2022-07-21,BULL_CALL,9640.0,73.31,9566.69,0.0
23,2022-07-28,2022-08-04,BULL_CALL,8670.0,91.69,8578.31,0.0
24,2022-08-05,2022-08-11,BULL_CALL,6302.5,71.87,6230.63,0.0
25,2022-08-29,2022-09-01,BEAR_PUT,-3160.0,51.95,-3211.95,0.0
26,2022-09-08,2022-09-15,BULL_CALL,-3105.0,56.53,-3161.53,0.0
27,2022-09-16,2022-09-22,BEAR_PUT,-4077.5,55.33,-4132.83,0.0
28,2022-09-23,2022-09-29,BEAR_PUT,8117.5,108.15,8009.35,0.0
29,2022-10-18,2022-10-20,BULL_CALL,-2070.0,50.73,-2120.73,0.0
30,2022-10-27,2022-11-03,BULL_CALL,8362.5,76.07,8286.43,0.0
31,2022-11-07,2022-11-10,BULL_CALL,-2952.5,49.7,-3002.2,0.0
32,2022-11-11,2022-11-17,BULL_CALL,-3875.0,51.16,-3926.16,0.0
33,2022-11-24,2022-12-01,BULL_CALL,8990.0,75.3,8914.7,0.0
34,2022-12-09,2022-12-15,BEAR_PUT,-867.5,53.42,-920.92,0.0
35,2022-12-15,2022-12-22,BEAR_PUT,8272.5,71.77,8200.73,0.0
36,2023-01-12,2023-01-19,BEAR_PUT,-3330.0,52.64,-3382.64,0.0
37,2023-01-27,2023-02-02,BEAR_PUT,-3870.0,56.25,-3926.25,0.0
38,2023-02-09,2023-02-16,BULL_CALL,445.0,59.28,385.72,0.0
39,2023-03-13,2023-03-16,BEAR_PUT,2657.5,62.18,2595.32,0.0
40,2023-03-24,2023-03-29,BEAR_PUT,-2995.0,51.53,-3046.53,0.0
41,2023-03-31,2023-04-06,BULL_CALL,6490.0,68.56,6421.44,0.0
42,2023-04-27,2023-05-04,BULL_CALL,9022.5,79.99,8942.51,0.0
43,2023-05-04,2023-05-11,BULL_CALL,-3097.5,50.1,-3147.6,0.0
44,2023-05-15,2023-05-18,BULL_CALL,-2397.5,48.95,-2446.45,0.0
45,2023-05-26,2023-06-01,BULL_CALL,-2937.5,49.59,-2987.09,0.0
46,2023-06-16,2023-06-22,BULL_CALL,-2682.5,49.34,-2731.84,0.0
47,2023-07-14,2023-07-20,BULL_CALL,9472.5,88.45,9384.05,0.0
48,2023-08-17,2023-08-24,BEAR_PUT,-2530.0,50.24,-2580.24,0.0
49,2023-08-25,2023-08-31,BEAR_PUT,-2717.5,50.26,-2767.76,0.0
50,2023-08-31,2023-09-07,BEAR_PUT,-1805.0,49.68,-1854.68,0.0
51,2023-09-22,2023-09-28,BEAR_PUT,1885.0,56.52,1828.48,0.0
52,2023-09-28,2023-10-05,BEAR_PUT,-2202.5,50.71,-2253.21,0.0
53,2023-10-17,2023-10-19,BULL_CALL,-2300.0,48.9,-2348.9,0.0
54,2023-10-23,2023-10-26,BEAR_PUT,9330.0,90.86,9239.14,0.0
55,2023-11-13,2023-11-16,BULL_CALL,10582.5,73.54,10508.96,0.0
56,2023-11-21,2023-11-23,BULL_CALL,-1970.0,48.74,-2018.74,0.0
